"","Y","year","dist","speed","weighted_uncertainty","global_uncertainty"
"1",1948,"1948 - 1974",23.110815799319,0.888877530743039,0.0764280939689001,0.0667034981827953
"2",1974,"1974 - 1990",7.23091161981785,0.451931976238616,0.0853901964258203,0.0929003313119094
"3",1990,"1990 - 1994",2.22850755333458,0.557126888333645,0.177633836347974,0.183264672239533
"4",1994,"1994 - 2003",24.2539874667399,2.69488749630443,0.300423851482981,0.248943532576194
"5",2003,"2003 - 2009",32.2844493745667,5.38074156242778,0.342868662474541,0.326514871209361
"6",2009,"2009 - 2012",18.0592266163884,6.0197422054628,0.24261176461576,0.242317796286809
"7",2012,"2012 - 2013",13.9187146358655,13.9187146358655,0.662784452303622,0.741700262893876
"8",2013,"2013 - 2015",44.1272842855107,22.0636421427554,0.337895786211402,0.42656837747867
"9",2015,"2015 - 2017",13.0212736175059,6.51063680875295,0.371904423698843,0.68168502628886
"10",2017,"2017 - 2018",5.88059707072675,5.88059707072675,0.414948929711805,0.480568444454491
